ParkingSpaceId,ParkingMeterStatus,OccupancyStatus,OccupancyDateChanged
10006A,N,O,03/30/2022 20:21:43 PM
10006B,N,O,03/30/2022 20:21:43 PM
10007A,N,O,03/30/2022 20:48:06 PM
10007B,N,O,03/30/2022 20:48:06 PM
10008A,N,O,03/30/2022 07:11:42 AM
10008B,N,O,03/30/2022 07:11:42 AM
10009A,N,O,03/30/2022 19:41:19 PM
10009B,N,O,03/30/2022 19:41:19 PM
10010A,N,O,03/30/2022 21:50:43 PM
10010B,N,O,03/30/2022 21:50:43 PM
10012A,N,O,03/30/2022 23:13:28 PM
10012B,N,O,03/30/2022 23:13:28 PM
10013A,N,O,03/30/2022 23:28:26 PM
10013B,N,V,03/30/2022 23:28:26 PM
10014A,N,O,03/30/2022 16:36:37 PM
10014B,N,O,03/30/2022 16:36:37 PM
10015A,N,O,03/30/2022 11:52:41 AM
10015B,N,O,03/30/2022 11:52:41 AM
1001A,N,O,03/30/2022 23:28:11 PM
10021A,N,O,03/30/2022 21:58:13 PM
10021B,N,O,03/30/2022 21:58:13 PM
10022A,N,O,03/30/2022 08:44:26 AM
10022B,N,O,03/30/2022 08:44:26 AM
10023A,N,O,03/30/2022 19:43:33 PM
10023B,N,O,03/30/2022 19:43:33 PM
10024A,N,O,03/30/2022 18:02:15 PM
10024B,N,O,03/30/2022 18:02:15 PM
10025A,N,O,03/30/2022 19:57:19 PM
10025B,N,O,03/30/2022 19:57:19 PM
10026A,N,O,03/30/2022 22:31:03 PM
10026B,N,O,03/30/2022 22:31:03 PM
10027A,N,O,03/30/2022 21:19:17 PM
10028A,N,O,03/30/2022 16:45:04 PM
10028B,N,O,03/30/2022 16:45:04 PM
10029A,N,O,03/30/2022 16:01:16 PM
10029B,N,O,03/30/2022 16:01:16 PM
1002A,N,O,03/30/2022 21:31:54 PM
10030A,N,O,03/30/2022 13:05:05 PM
10030B,N,O,03/30/2022 13:05:05 PM
10031A,N,O,03/30/2022 17:36:49 PM
10031B,N,O,03/30/2022 17:36:49 PM
10033B,N,O,03/30/2022 06:11:42 AM
10034A,N,O,03/30/2022 08:11:35 AM
10034B,N,O,03/30/2022 08:11:35 AM
10035A,N,O,03/30/2022 22:52:51 PM
10035B,N,O,03/30/2022 22:52:51 PM
10036A,N,V,03/30/2022 23:30:03 PM
10036B,N,O,03/30/2022 23:30:03 PM
10037A,N,O,03/30/2022 16:01:35 PM
10037B,N,O,03/30/2022 16:01:35 PM
10038A,N,O,03/30/2022 07:11:47 AM
1003B,N,O,03/30/2022 23:21:24 PM
10041A,N,O,03/30/2022 18:23:51 PM
10041B,N,O,03/30/2022 18:23:51 PM
10042A,N,O,03/30/2022 10:00:59 AM
10042B,N,O,03/30/2022 10:00:59 AM
10057A,N,O,03/30/2022 06:12:42 AM
10057B,N,O,03/30/2022 06:12:42 AM
10058A,N,O,03/30/2022 17:18:38 PM
10058B,N,O,03/30/2022 17:18:38 PM
10059A,N,V,03/30/2022 23:26:30 PM
10059B,N,V,03/30/2022 23:26:30 PM
1006B,N,O,03/30/2022 21:32:27 PM
10072A,N,O,03/30/2022 19:26:18 PM
10073A,N,O,03/30/2022 17:29:51 PM
10073B,N,O,03/30/2022 17:29:51 PM
10074A,N,O,03/30/2022 23:29:00 PM
10074B,N,O,03/30/2022 23:29:00 PM
10075A,N,O,03/30/2022 20:17:14 PM
10075B,N,O,03/30/2022 20:17:14 PM
10083A,N,O,03/30/2022 17:57:45 PM
10083B,N,O,03/30/2022 17:57:45 PM
10084A,N,O,03/30/2022 07:44:40 AM
10084B,N,O,03/30/2022 07:44:40 AM
10085A,N,O,03/30/2022 06:14:44 AM
10085B,N,V,03/30/2022 06:14:44 AM
10086A,N,O,03/30/2022 18:53:47 PM
10086B,N,O,03/30/2022 18:53:47 PM
10091A,N,O,03/30/2022 11:11:32 AM
10092A,N,O,03/30/2022 13:14:43 PM
10092B,N,O,03/30/2022 13:14:43 PM
100A,N,V,03/30/2022 23:21:14 PM
100B,N,O,03/30/2022 23:21:14 PM
10112A,N,O,03/30/2022 18:50:32 PM
10112B,N,O,03/30/2022 18:50:32 PM
10113A,N,O,03/30/2022 06:11:42 AM
10113B,N,O,03/30/2022 06:11:42 AM
10118A,N,O,03/30/2022 18:36:26 PM
10118B,N,O,03/30/2022 18:36:26 PM
10119A,N,O,03/30/2022 20:29:29 PM
10119B,N,O,03/30/2022 20:29:29 PM
